Cycle,Pre_Height,Post_Height,Height_Change,rise_peak,rise_slope,rise_duration,first_peak_frequency,magnitude1,second_peak_frequency,magnitude2
13696,150370,352030,201660,0.179768116591873,7.483106918391735e-05,1614,80544.5,0.008835408649787371,80544.0,0.008834337377144494
13698,150150,352010,201860,0.176225314421876,5.6348950464802745e-05,1166,80491.5,0.01158464825178822,80492.0,0.011578748684799809
13703,148230,350060,201830,0.171394220557268,3.4763082676081e-05,2974,80564.5,0.010732542107051938,80565.0,0.010711541923790155
13704,148400,350040,201640,0.174614949799886,1.8009128092404766e-05,2772,80595.5,0.00850597437781626,80596.0,0.008501770482065976
13705,134250,336040,201790,0.175581168573025,3.782735663291741e-05,2384,80622.5,0.0074992883413478595,80623.0,0.007493290561707557
13709,160450,362050,201600,0.184277137538768,4.7282811984345686e-05,2929,80667.5,0.006334778725773424,80667.0,0.00632251029122795
13712,158360,360060,201700,0.188786158489386,9.142001151541258e-05,1455,80601.5,0.011350690109892174,80601.0,0.011342786995829414
13714,150790,352050,201260,0.179446043667235,8.072700731757916e-05,1157,80590.0,0.011150583813033486,80589.5,0.011129194233031965
13716,150210,352090,201880,0.182666772914453,5.686252979856758e-05,1450,80644.0,0.009904610864532953,80643.5,0.009898580413843302
13720,158580,360050,201470,1.20267195874528,7.984788460720546e-05,12972,80632.5,0.010981192783573183,80632.0,0.010977269490713076
13728,158530,359980,201450,0.183632991688986,4.6472524007303076e-05,2987,80501.0,0.015335214422594405,80501.5,0.015329209603244716
13731,148410,350050,201640,0.183632991688986,8.448131255972592e-05,1666,80550.5,0.012225176245099192,80551.0,0.0122235171425592
13740,134370,336060,201690,0.185565429238562,2.7632135440077708e-05,2844,80595.5,0.013636370740815983,80596.0,0.01356794813376005
13742,148500,350050,201550,0.179123970742616,0.00010037836767385964,1046,39643.5,0.005618079766816896,39640.5,0.005483539691578509
13746,148430,350090,201660,0.182666772914453,4.90110969905877e-05,1334,43023.0,0.009618417169121398,43023.5,0.008351912474531075
13748,148210,350100,201890,0.183310918764123,4.222635348846473e-05,2906,80642.5,0.007734109277983017,80642.0,0.007718396644500479
13749,144220,346150,201930,0.180734335365898,7.680338150111384e-05,1799,43039.5,0.007974546104066909,43003.5,0.007937078482807077
13751,154810,356050,201240,0.184599210463688,9.505532242866975e-05,1213,39585.0,0.0052613881167915206,39584.0,0.005251579298598082
13756,156430,358080,201650,0.184277137538768,0.00010181114260960149,1142,42930.0,0.013964430571032615,80651.5,0.01381576015929996
13757,157600,358080,200480,0.186209575088573,6.25561522962782e-05,1941,80647.5,0.011666195317260911,80648.0,0.011652004900550137
13761,156540,358110,201570,0.183632991688986,7.006498710228772e-06,1425,42398.5,0.004426331114407088,0.5,0.004182529729276235
13763,156300,358150,201850,0.170105928860724,3.596534798283076e-05,2991,80561.5,0.007706287134286647,80561.0,0.007696688136495781
13765,148120,350140,202020,0.17815775196887,9.0135685679662e-05,1440,42371.0,0.005277281036371475,42312.0,0.004924822239013409
13771,154120,356030,201910,0.175581168573025,9.265111442533752e-05,1314,39717.5,0.0055634559688906016,39717.0,0.005530848941770857
13773,156610,358100,201490,0.16946178301256,6.480603018006051e-05,1481,80645.0,0.007158773602774699,80644.5,0.007149212471757835
13775,156160,358130,201970,0.179446043667235,5.6534076740033874e-05,1880,59472.0,0.004915449416707903,59473.5,0.004884071906379244
13780,148240,350070,201830,0.17815775196887,4.137406567613326e-05,2997,39705.0,0.00536893389876586,39704.5,0.005284075060687155
13781,135170,336090,200920,1.31539755561972,9.942534456029795e-05,12465,42455.0,0.004497640620432722,59621.5,0.004443479339106369
13785,158480,360150,201670,1.30798987313504,0.00010450037770973071,11798,42442.0,0.008438571828500508,42441.5,0.00802815165890056
13789,154610,356080,201470,1.26708658393437,9.863767749464461e-05,12127,39757.5,0.007129212125402828,39758.0,0.007063051830502353
13699,148470,349980,201510,0.172038366405647,5.059888833379767e-06,1464,80903.0,0.010146461959084602,59558.5,0.009563573620637908
13700,156150,358040,201890,0.179446043667235,5.2792613313255385e-05,2544,59519.5,0.006972801083879702,59520.0,0.0069587138814802664
13702,134110,335930,201820,0.170105928860724,4.123034677764043e-05,2570,39698.5,0.017109141057800564,39699.0,0.016869928970421538
13706,150350,351890,201540,0.190074450190256,3.2491593762628005e-05,2379,59487.5,0.009191396554860768,59488.0,0.008882724459698054
13708,150650,351960,201310,1.10186307840452,9.462922957260197e-05,10813,39651.0,0.007941374923737395,39651.5,0.007824715747050166
